,Open,High,Low,Close,Volume,Adj. Close,Date Time
2022-04-09 03:23:00,42334.41015625,42334.41015625,42334.41015625,42334.41015625,0,42334.41015625,2022-04-09 03:23:00
2022-04-09 03:25:00,42325.87890625,42325.87890625,42325.87890625,42325.87890625,0,42325.87890625,2022-04-09 03:25:00
2022-04-09 03:26:00,42313.0625,42313.0625,42313.0625,42313.0625,0,42313.0625,2022-04-09 03:26:00
2022-04-09 03:28:00,42293.2890625,42293.2890625,42293.2890625,42293.2890625,11560960,42293.2890625,2022-04-09 03:28:00
2022-04-09 03:29:00,42292.3515625,42292.3515625,42292.3515625,42292.3515625,2416640,42292.3515625,2022-04-09 03:29:00
2022-04-09 03:31:00,42344.859375,42344.859375,42344.859375,42344.859375,34267136,42344.859375,2022-04-09 03:31:00
2022-04-09 03:32:00,42348.4921875,42348.4921875,42348.4921875,42348.4921875,1122304,42348.4921875,2022-04-09 03:32:00
2022-04-09 03:34:00,42356.84765625,42356.84765625,42356.84765625,42356.84765625,43091968,42356.84765625,2022-04-09 03:34:00
2022-04-09 03:35:00,42364.0,42364.0,42364.0,42364.0,5042176,42364.0,2022-04-09 03:35:00
2022-04-09 03:37:00,42397.55078125,42397.55078125,42397.55078125,42397.55078125,24829952,42397.55078125,2022-04-09 03:37:00
2022-04-09 03:38:00,42402.046875,42402.046875,42402.046875,42402.046875,6647808,42402.046875,2022-04-09 03:38:00
2022-04-09 03:40:00,42395.609375,42395.609375,42395.609375,42395.609375,5142528,42395.609375,2022-04-09 03:40:00
2022-04-09 03:41:00,42389.37109375,42389.37109375,42389.37109375,42389.37109375,0,42389.37109375,2022-04-09 03:41:00
2022-04-09 03:44:00,42380.33203125,42380.33203125,42380.33203125,42380.33203125,9275392,42380.33203125,2022-04-09 03:44:00
2022-04-09 03:45:00,42373.23046875,42373.23046875,42373.23046875,42373.23046875,0,42373.23046875,2022-04-09 03:45:00
2022-04-09 03:46:00,42365.21875,42365.21875,42365.21875,42365.21875,1140736,42365.21875,2022-04-09 03:46:00
2022-04-09 03:47:00,42382.6796875,42382.6796875,42382.6796875,42382.6796875,9646080,42382.6796875,2022-04-09 03:47:00
2022-04-09 03:49:00,42409.2890625,42409.2890625,42409.2890625,42409.2890625,18872320,42409.2890625,2022-04-09 03:49:00
2022-04-09 03:50:00,42412.90234375,42412.90234375,42412.90234375,42412.90234375,1384448,42412.90234375,2022-04-09 03:50:00
